ticker,trailingPE,priceToBook,revenueGrowth,returnOnEquity,debtToEquity,trailingEps,marketCap,sector,shortName
CLX,15.743089,-174.76534,0.001,5.46099,4876.087,6.15,11707604992.0,Consumer Defensive,Clorox Company (The)
CME,22.99744,3.6634364,0.144,0.15919,14.059,11.72,97387323392.0,Financial Services,CME Group Inc.
CMS,20.379501,2.4589725,0.116,0.103719994,189.842,3.61,22727215104.0,Utilities,CMS Energy Corporation
KO,25.981133,10.570624,0.121,0.43372002,124.943,3.18,355471097856.0,Consumer Defensive,Coca-Cola Company (The)
CTSH,11.316702,1.6411337,0.058,0.14876,7.247,4.61,24676409344.0,Technology,Cognizant Technology Solutions 
CL,34.670544,494.19888,0.084,3.6357698,1640.535,2.58,71576928256.0,Consumer Defensive,Colgate-Palmolive Company
CMCSA,4.8039217,0.99274683,0.053,0.20918,106.858,5.1,87519600640.0,Communication Services,Comcast Corporation
CMA,,,,,,,,,
CAG,,0.805204,-0.019,-0.00511,89.813,-0.1,6573726208.0,Consumer Defensive,"ConAgra Brands, Inc."
COP,19.82712,2.208128,-0.053,0.112840004,36.143,5.9,142516043776.0,Energy,ConocoPhillips
ED,18.168634,1.5490122,0.062,0.08732,106.177,5.93,39705387008.0,Utilities,"Consolidated Edison, Inc."
STZ,15.453694,3.1745794,-0.113,0.22636999,133.573,9.61,25577084928.0,Consumer Defensive,"Constellation Brands, Inc."
CEG,22.027777,2.746231,0.638,0.16104999,66.428,11.52,90618208256.0,Utilities,Constellation Energy Corporatio
COO,57.525425,1.605791,0.079,0.02853,33.093,1.18,13238678528.0,Healthcare,"The Cooper Companies, Inc."
CPRT,19.099379,3.2446976,0.021,0.17607,1.059,1.61,29621733376.0,Industrials,"Copart, Inc."
GLW,86.15385,13.76027,0.2,0.1674,80.363,2.08,154226294784.0,Technology,Corning Incorporated
CTVA,41.156757,2.094117,0.11,0.051370002,13.64,1.85,50923950080.0,Basic Materials,"Corteva, Inc."
CSGP,469.14285,1.6895611,0.225,0.00303,14.526,0.07,13410401280.0,Real Estate,"CoStar Group, Inc."
COST,49.513607,26.352003,0.215,0.29152,60.257,19.84,435651411968.0,Consumer Defensive,Costco Wholesale Corporation
CTRA,15.004608,1.6676911,0.186,0.11361,24.381,2.17,24724652032.0,Energy,Coterra Energy Inc.
CCI,38.886078,-20.926432,-0.048,,,2.37,40223416320.0,Real Estate,Crown Castle Inc.
CSX,29.18405,6.5101957,0.017,0.23684,143.06,1.63,88391663616.0,Industrials,CSX Corporation
CMI,34.246105,7.3690324,0.027,0.21993999,61.621,19.26,91014832128.0,Industrials,Cummins Inc.
CVS,44.7193,1.6757333,0.061,0.037520003,100.912,2.28,130093547520.0,Healthcare,CVS Health Corporation
DHI,14.468545,1.8584092,-0.023,0.13084,27.453,10.65,43696783360.0,Consumer Cyclical,"D.R. Horton, Inc."
DHR,34.83559,2.4071748,0.037,0.0708,37.17,5.17,127469494272.0,Healthcare,Danaher Corporation
DRI,22.26,11.52802,0.059,0.51539004,387.681,9.5,24220717056.0,Consumer Cyclical,"Darden Restaurants, Inc."
DVA,20.121506,-18.279457,0.06,0.80981004,1261.331,10.37,13392842752.0,Healthcare,DaVita Inc.
DAY,,,,,,,,,
DE,32.68138,5.687945,-0.111,0.18349001,376.022,17.67,155981561856.0,Industrials,Deere & Company
DAL,12.125547,2.6636307,0.129,0.2499,105.021,6.85,54569951232.0,Industrials,"Delta Air Lines, Inc."
XRAY,,1.5041741,0.001,-0.37669,177.786,-3.15,2021296256.0,Healthcare,DENTSPLY SIRONA Inc.
DVN,12.621171,1.8237804,-0.008,0.15178001,56.404,3.59,52260696064.0,Energy,Devon Energy Corporation
DXCM,32.34764,9.836858,0.15,0.35624,46.833,2.33,29083248640.0,Healthcare,"DexCom, Inc."
FANG,196.05103,1.4818786,0.042,0.0047400002,32.594,0.98,54048727040.0,Energy,"Diamondback Energy, Inc."
DLR,48.73016,2.8392189,0.167,0.05688,76.592,3.78,65888169984.0,Real Estate,"Digital Realty Trust, Inc."
DFS,,,,,,,,,
DG,16.237623,2.863557,0.034,0.1891,178.649,7.07,25323347968.0,Consumer Defensive,Dollar General Corporation
DLTR,18.327974,6.2865334,0.072,0.33976,216.518,6.22,21907902464.0,Consumer Defensive,"Dollar Tree, Inc."
D,20.03245,2.1200674,0.231,0.09787,154.901,3.39,59727695872.0,Utilities,"Dominion Energy, Inc."
DPZ,18.656681,-2.7774873,0.035,,,17.36,10772854784.0,Consumer Cyclical,Domino's Pizza Inc
DOV,27.17875,3.9092052,0.101,0.14998001,43.927,8.0,29279428608.0,Industrials,Dover Corporation
DOW,,1.5999433,-0.061,-0.15262,117.133,-4.0,24397096960.0,Basic Materials,Dow Inc.
DHR,34.83559,2.4071748,0.037,0.0708,37.17,5.17,127469494272.0,Healthcare,Danaher Corporation
DTE,24.286655,2.4886472,0.158,0.10423,218.787,6.07,30667534336.0,Utilities,DTE Energy Company
DUK,19.226154,1.8178512,0.113,0.09661,161.495,6.5,97426137088.0,Utilities,Duke Energy Corporation (Holdin
DD,127.0,1.4088453,0.043,0.00896,22.594,0.38,19548108800.0,Basic Materials,"DuPont de Nemours, Inc."
EMN,21.739885,1.4307724,-0.049,0.06633,89.616,3.46,8601404416.0,Basic Materials,Eastman Chemical Company
ETN,38.29648,7.7063484,0.168,0.20844999,110.463,10.22,151976738816.0,Industrials,"Eaton Corporation, PLC"
EBAY,25.083141,10.979579,0.195,0.42875,163.327,4.33,48222838784.0,Consumer Cyclical,eBay Inc.
